Ticker,Date,Spot_Rate,Qualifier,Qualifier_Description
index,,data_Value,qualifier,qualifier_Description
FBXD,2023-08-11,2941.39,CNAE,China North America East
FBXD,2023-08-11,2373.8,CMED,China Mediterranean
FBXD,2023-08-11,1020.47,ESAE,Europe South America East
FBXD,2023-08-11,1416,ENAE,Europe North America East
FBXD,2023-08-11,1512.24,GLBL,Global
FBXD,2023-08-11,1912.54,CNAW,China North America West
FBXD,2023-08-11,336.07,NERC,North Europe China
FBXD,2023-08-11,422.5,NAWC,North America West China
FBXD,2023-08-11,522.37,NAEE,North America East Europe
FBXD,2023-08-11,328.46,MEDC,Mediterranean China
FBXD,2023-08-11,486.97,NAEC,North America East China
FBXD,2023-08-11,1787.77,CNER,China North Europe
FBXD,2023-08-11,1028.85,PANA,China North America East - West Spread
FBXD,2023-08-11,2403.27,ESAW,Europe South America West
FBXD,2023-08-10,336.88,NERC,North Europe China
FBXD,2023-08-10,2376.53,CMED,China Mediterranean
FBXD,2023-08-10,1688,ENAE,Europe North America East
FBXD,2023-08-10,1530.8,GLBL,Global
FBXD,2023-08-10,1020.47,ESAE,Europe South America East
FBXD,2023-08-10,1014.24,PANA,China North America East - West Spread
FBXD,2023-08-10,2608,ESAW,Europe South America West
FBXD,2023-08-10,1912.38,CNAW,China North America West
FBXD,2023-08-10,422.5,NAWC,North America West China
FBXD,2023-08-10,2926.62,CNAE,China North America East
FBXD,2023-08-10,486.95,NAEC,North America East China
FBXD,2023-08-10,325.78,MEDC,Mediterranean China
FBXD,2023-08-10,522.37,NAEE,North America East Europe
FBXD,2023-08-10,1783.93,CNER,China North Europe
FBXD,2023-08-09,2917.79,CNAE,China North America East
FBXD,2023-08-09,2423.63,CMED,China Mediterranean
FBXD,2023-08-09,1688,ENAE,Europe North America East
FBXD,2023-08-09,1020.47,ESAE,Europe South America East
FBXD,2023-08-09,2715,ESAW,Europe South America West
FBXD,2023-08-09,1543.71,GLBL,Global
FBXD,2023-08-09,1912.38,CNAW,China North America West
FBXD,2023-08-09,466.96,NAWC,North America West China
FBXD,2023-08-09,336.88,NERC,North Europe China
FBXD,2023-08-09,1783.93,CNER,China North Europe
FBXD,2023-08-09,525.17,NAEE,North America East Europe
FBXD,2023-08-09,339.76,MEDC,Mediterranean China
FBXD,2023-08-09,516.25,NAEC,North America East China
FBXD,2023-08-09,1005.41,PANA,China North America East - West Spread
FBXD,2023-08-08,2888.36,CNAE,China North America East
FBXD,2023-08-08,2423.63,CMED,China Mediterranean
FBXD,2023-08-08,1539.16,GLBL,Global
FBXD,2023-08-08,1688,ENAE,Europe North America East
FBXD,2023-08-08,1020.47,ESAE,Europe South America East
FBXD,2023-08-08,984.69,PANA,China North America East - West Spread
FBXD,2023-08-08,2718,ESAW,Europe South America West
FBXD,2023-08-08,1903.67,CNAW,China North America West
FBXD,2023-08-08,336.88,NERC,North Europe China
FBXD,2023-08-08,466.95,NAWC,North America West China
FBXD,2023-08-08,530.59,NAEE,North America East Europe
FBXD,2023-08-08,512.41,NAEC,North America East China
FBXD,2023-08-08,352.17,MEDC,Mediterranean China
